año,NCODI,pacienteTot_hospDom,visitaTot_hospDom
2016,1.0660000000000000e+03,0,0
2016,1.1000000000000000e+03,0,0
2016,1.1050000000000000e+03,0,0
2016,1.1070000000000000e+03,0,0
2016,1.1110000000000000e+03,0,0
2016,1.1210000000000000e+03,0,0
2016,2.0700000000000000e+02,0,0
2016,4.3100000000000000e+02,0,0
2016,3.8700000000000000e+02,0,0
2016,1.7900000000000000e+02,0,0
2016,6.0600000000000000e+02,0,0
2016,9.2500000000000000e+02,1030,11156
2016,5.4100000000000000e+02,0,0
2016,7.9700000000000000e+02,0,0
2016,6.2700000000000000e+02,0,0
2016,1.7300000000000000e+02,0,0
2016,6.3600000000000000e+02,0,0
2016,2.0500000000000000e+02,0,0
2016,8.1400000000000000e+02,0,0
2016,8.8100000000000000e+02,0,0
2016,7.7100000000000000e+02,187,1056
2016,5.3300000000000000e+02,514,1030
2016,4.4700000000000000e+02,0,0
2016,8.1500000000000000e+02,0,0
2016,8.0100000000000000e+02,0,0
2016,8.0000000000000000e+02,0,0
2016,3.8900000000000000e+02,0,0
2016,6.9500000000000000e+02,432,1008
2016,8.1600000000000000e+02,0,0
2016,8.3300000000000000e+02,0,0
2016,8.7000000000000000e+02,0,0
2016,9.2700000000000000e+02,0,0
2016,9.6100000000000000e+02,266,1434
2016,9.6200000000000000e+02,0,0
2016,1.0790000000000000e+03,0,0
2016,1.1010000000000000e+03,0,0
2016,6.6600000000000000e+02,1180,11131
2016,3.9200000000000000e+02,0,0
2016,7.9000000000000000e+02,449,12536
2016,6.5000000000000000e+02,2172,8178
2016,8.7600000000000000e+02,1075,11555
2016,9.4400000000000000e+02,0,0
2016,9.5200000000000000e+02,0,0
2016,5.4000000000000000e+01,0,0
2016,3.6700000000000000e+02,0,0
2016,5.3800000000000000e+02,0,0
2016,5.5700000000000000e+02,0,0
2016,6.5300000000000000e+02,0,0
2016,6.4700000000000000e+02,0,0
2016,9.7800000000000000e+02,0,0
2016,9.9600000000000000e+02,0,0
2016,7.2900000000000000e+02,0,0
2016,1.8200000000000000e+02,0,0
2016,6.3300000000000000e+02,0,0
2016,6.8500000000000000e+02,0,0
2016,6.8300000000000000e+02,0,0
2016,9.4500000000000000e+02,0,0
2016,9.5300000000000000e+02,0,0
2016,1.0220000000000000e+03,0,0
2016,1.0490000000000000e+03,0,0
2016,7.9400000000000000e+02,1035,14047
2016,4.1500000000000000e+02,52,408
2016,5.9200000000000000e+02,0,0
2016,4.9700000000000000e+02,0,0
2016,4.5800000000000000e+02,0,0
2016,7.2600000000000000e+02,175,3465
2016,2.7200000000000000e+02,0,0
2016,8.0500000000000000e+02,606,11355
2016,5.0000000000000000e+00,0,0
2016,2.3400000000000000e+02,0,0
2016,6.4000000000000000e+01,0,0
2016,8.4200000000000000e+02,360,4957
2016,8.4300000000000000e+02,222,3052
2016,8.0300000000000000e+02,0,0
2016,2.1100000000000000e+02,0,0
2016,7.7300000000000000e+02,0,0
2016,4.2400000000000000e+02,0,0
2016,2.9800000000000000e+02,0,0
2016,5.9400000000000000e+02,0,0
2016,2.3700000000000000e+02,0,0
2016,1.6000000000000000e+01,0,0
2016,7.6800000000000000e+02,0,0
2016,6.1700000000000000e+02,0,0
2016,2.9700000000000000e+02,0,0
2016,1.0500000000000000e+02,0,0
2016,5.4400000000000000e+02,0,0
2016,8.0400000000000000e+02,0,0
2016,1.0400000000000000e+02,0,0
2016,2.0000000000000000e+01,0,0
2016,5.5000000000000000e+02,407,4700
2016,1.1200000000000000e+02,0,0
2016,8.1800000000000000e+02,0,0
2016,8.8200000000000000e+02,0,0
2016,9.1400000000000000e+02,0,0
2016,9.2800000000000000e+02,0,0
2016,9.6400000000000000e+02,0,0
2016,1.0260000000000000e+03,0,0
2016,1.0680000000000000e+03,0,0
2016,1.1080000000000000e+03,0,0
2016,4.0400000000000000e+02,19,817
2016,2.7000000000000000e+02,0,0
2016,6.7600000000000000e+02,0,0
2016,7.0900000000000000e+02,0,0
2016,7.5400000000000000e+02,0,0
2016,9.9700000000000000e+02,0,0
2016,1.0690000000000000e+03,0,0
2016,1.1180000000000000e+03,0,0
2016,7.3400000000000000e+02,0,0
2016,2.9900000000000000e+02,0,0
2016,6.4500000000000000e+02,0,0
2016,1.7000000000000000e+01,0,0
2016,1.0460000000000000e+03,0,0
