año,NCODI,pacienteTot_med,sesionTot_med,pacienteTot_psiquia,sesionTot_psiquia,pacienteTot_geria,sesionTot_geria
2016,2.9600000000000000e+02,0,0,0,0,70,5495
2016,5.6600000000000000e+02,2785,10230,113,3101,0,0
2016,7.8400000000000000e+02,9160,46817,311,6434,94,4092
2016,1.0200000000000000e+02,0,0,107,3492,57,5040
2016,3.7900000000000000e+02,0,0,347,19389,0,0
2016,6.3900000000000000e+02,3964,10366,0,0,0,0
2016,4.5700000000000000e+02,1325,1497,0,0,0,0
2016,6.0900000000000000e+02,207,1618,3,101,0,0
2016,1.0100000000000000e+02,0,0,0,0,54,3603
2016,4.5400000000000000e+02,2149,6911,0,0,0,0
2016,3.1800000000000000e+02,0,0,57,2967,85,5596
2016,6.0000000000000000e+02,1800,15528,0,0,0,0
2016,5.4500000000000000e+02,6052,21439,71,4558,126,9541
2016,1.0000000000000000e+02,0,0,0,0,146,8415
2016,7.0200000000000000e+02,2410,10626,85,4242,0,0
2016,7.7800000000000000e+02,2055,10727,145,3339,0,0
2016,3.4100000000000000e+02,0,0,0,0,0,0
2016,9.9000000000000000e+01,0,0,0,0,535,9040
2016,7.6700000000000000e+02,2444,7564,0,0,0,0
2016,3.5900000000000000e+02,0,0,0,0,1064,6496
2016,9.8000000000000000e+01,0,0,0,0,85,5636
2016,1.3200000000000000e+02,0,0,0,0,0,0
2016,9.7000000000000000e+01,0,0,0,0,68,7551
2016,1.0300000000000000e+02,0,0,0,0,605,4856
2016,1.1000000000000000e+02,0,0,0,0,0,0
2016,9.4000000000000000e+01,0,0,0,0,0,0
2016,9.1000000000000000e+01,0,0,0,0,94,4431
2016,6.6400000000000000e+02,5267,21984,167,5078,0,0
2016,9.1800000000000000e+02,18265,102405,0,0,0,0
2016,9.2000000000000000e+01,0,0,0,0,0,0
2016,9.5000000000000000e+01,0,0,0,0,41,5003
2016,3.0100000000000000e+02,0,0,0,0,0,0
2016,4.9200000000000000e+02,1645,5019,0,0,0,0
2016,8.1100000000000000e+02,27,81,0,0,0,0
2016,8.1200000000000000e+02,7296,51445,0,0,0,0
2016,8.3200000000000000e+02,0,0,0,0,0,0
2016,8.4100000000000000e+02,0,0,0,0,46,8864
2016,8.5600000000000000e+02,0,0,0,0,69,3102
2016,8.5900000000000000e+02,0,0,98,5350,0,0
2016,8.6100000000000000e+02,0,0,0,0,0,0
2016,8.8000000000000000e+02,0,0,0,0,173,9309
2016,8.8300000000000000e+02,0,0,75,4555,0,0
2016,8.8400000000000000e+02,0,0,0,0,62,6803
2016,8.7700000000000000e+02,0,0,0,0,0,0
2016,9.1100000000000000e+02,0,0,0,0,262,4019
2016,9.1300000000000000e+02,0,0,203,4350,0,0
2016,9.2200000000000000e+02,0,0,0,0,0,0
2016,9.2300000000000000e+02,0,0,0,0,0,0
2016,9.2400000000000000e+02,2276,24547,0,0,0,0
2016,9.4700000000000000e+02,0,0,0,0,0,0
2016,9.5100000000000000e+02,0,0,0,0,30,5100
2016,1.1030000000000000e+03,0,0,0,0,315,6776
2016,9.7200000000000000e+02,0,0,0,0,0,0
2016,9.7300000000000000e+02,0,0,0,0,0,0
