año,NCODI,inver_iIntangible,inver_IMaterial,inver_IMterrenos,inver_IMresto,inver_Otras,inver_Total
2017,8.1200000000000000e+02,196487,506466,0,506466,0,702953
2017,8.3200000000000000e+02,0,331047,0,331047,0,331047
2017,8.4100000000000000e+02,0,349918,0,349918,0,349918
2017,8.5600000000000000e+02,0,723270,0,723270,37594,760864
2017,8.5900000000000000e+02,0,257497,0,257497,0,257497
2017,8.6100000000000000e+02,1,0,0,0,0,1
2017,8.8000000000000000e+02,221,36898,0,36898,0,37119
2017,8.8300000000000000e+02,0,6241,0,6241,1,6242
2017,8.8400000000000000e+02,11519,87619,0,87619,0,99138
2017,8.7700000000000000e+02,0,528,0,528,0,528
2017,9.1100000000000000e+02,30637,1069248,0,1069248,0,1099885
2017,9.1300000000000000e+02,0,0,0,0,1,1
2017,9.2200000000000000e+02,963,1229028,0,1229028,16418,1246409
2017,9.2300000000000000e+02,0,18619,0,18619,0,18619
2017,9.2400000000000000e+02,0,191546,0,191546,0,191546
2017,9.4700000000000000e+02,0,13768,0,13768,0,13768
2017,9.5100000000000000e+02,0,86275,0,86275,55357,141632
2017,1.1030000000000000e+03,0,24059,0,24059,0,24059
2017,9.7200000000000000e+02,0,34568,0,34568,0,34568
2017,9.7300000000000000e+02,0,151499,0,151499,0,151499
2017,9.7400000000000000e+02,0,51618,0,51618,0,51618
2017,9.7500000000000000e+02,0,158325,0,158325,899,159224
2017,9.6000000000000000e+02,6085,129210,0,129210,0,135295
2017,1.0280000000000000e+03,0,2835,0,2835,0,2835
2017,9.7600000000000000e+02,0,1099457,0,1099457,0,1099457
2017,9.7700000000000000e+02,0,3309,0,3309,0,3309
2017,1.0200000000000000e+03,0,3309,0,3309,0,3309
2017,9.9400000000000000e+02,55276,331955,0,331955,0,387231
2017,9.9500000000000000e+02,11575,1094,0,1094,0,12669
2017,1.0600000000000000e+03,0,0,0,0,500,500
2017,1.0050000000000000e+03,0,2669,0,2669,0,2669
2017,1.0610000000000000e+03,0,6300,0,6300,0,6300
2017,1.0620000000000000e+03,0,0,0,0,13053,13053
2017,1.0060000000000000e+03,0,16269,0,16269,0,16269
2017,1.0880000000000000e+03,445,112936,0,112936,0,113381
