año,NCODI,inver_iIntangible,inver_IMaterial,inver_IMterrenos,inver_IMresto,inver_Otras,inver_Total
2016,6.3900000000000000e+02,2725219,732110,0,732110,0,3457329
2016,4.5700000000000000e+02,46259,178595,0,178595,0,224854
2016,6.0900000000000000e+02,33082,3443749,0,3443749,0,3476831
2016,1.0100000000000000e+02,3630,146244,0,146244,3847,153721
2016,4.5400000000000000e+02,59120,696304,0,696304,0,755424
2016,3.1800000000000000e+02,247,155664,0,155664,0,155911
2016,6.0000000000000000e+02,157801,242806,0,242806,0,400607
2016,5.4500000000000000e+02,174423,1178617,0,1178617,0,1353040
2016,1.0000000000000000e+02,0,218292,0,218292,0,218292
2016,7.0200000000000000e+02,30286,3133642,0,3133642,0,3163928
2016,7.7800000000000000e+02,61923,2160258,0,2160258,0,2222181
2016,3.4100000000000000e+02,0,59343,0,59343,0,59343
2016,9.9000000000000000e+01,6056,86472,0,86472,630186,722714
2016,7.6700000000000000e+02,0,238105,0,238105,0,238105
2016,3.5900000000000000e+02,29795,350927,0,350927,0,380722
2016,9.8000000000000000e+01,4998,116237,0,116237,0,121235
2016,1.3200000000000000e+02,0,218649,0,218649,0,218649
2016,9.7000000000000000e+01,0,16397,0,16397,0,16397
2016,1.0300000000000000e+02,11565,44649,0,44649,0,56214
2016,1.1000000000000000e+02,3448,116800,0,116800,5916,126164
2016,9.4000000000000000e+01,0,28664,0,28664,0,28664
2016,9.1000000000000000e+01,3249,604491,0,604491,0,607740
2016,6.6400000000000000e+02,233297,1945758,0,1945758,0,2179055
2016,9.1800000000000000e+02,30492,12622960,0,12622960,0,12653452
2016,9.2000000000000000e+01,0,908,0,908,0,908
2016,9.5000000000000000e+01,0,117729,0,117729,0,117729
2016,3.0100000000000000e+02,17993,280898,0,280898,0,298891
2016,4.9200000000000000e+02,85428,552595,0,552595,0,638023
2016,8.1100000000000000e+02,20243,288980,0,288980,0,309223
2016,8.1200000000000000e+02,17618,415428,0,415428,0,433046
2016,8.3200000000000000e+02,0,49896,0,49896,0,49896
2016,8.4100000000000000e+02,0,56491,0,56491,0,56491
2016,8.5600000000000000e+02,0,107076,0,107076,0,107076
2016,8.5900000000000000e+02,0,14071,0,14071,0,14071
2016,8.6100000000000000e+02,1,0,0,0,0,1
2016,8.8000000000000000e+02,0,3084,0,3084,0,3084
2016,8.8300000000000000e+02,0,734738,0,734738,0,734738
2016,8.8400000000000000e+02,0,8882,0,8882,0,8882
2016,8.7700000000000000e+02,0,30201,0,30201,0,30201
2016,9.1100000000000000e+02,68698,966209,0,966209,0,1034907
2016,9.1300000000000000e+02,0,0,0,0,1,1
2016,9.2200000000000000e+02,21913,1373909,0,1373909,0,1395822
2016,9.2300000000000000e+02,0,25839,0,25839,0,25839
2016,9.2400000000000000e+02,0,244261,0,244261,0,244261
2016,9.4700000000000000e+02,0,40084,0,40084,0,40084
2016,9.5100000000000000e+02,0,74877,0,74877,33333,108210
2016,1.1030000000000000e+03,0,67273,0,67273,0,67273
2016,9.7200000000000000e+02,0,31998,0,31998,0,31998
2016,9.7300000000000000e+02,0,394329,0,394329,0,394329
2016,9.7400000000000000e+02,0,64393,0,64393,0,64393
2016,9.7500000000000000e+02,3218,164331,0,164331,0,167549
2016,9.6000000000000000e+02,6779,319386,0,319386,0,326165
2016,1.0280000000000000e+03,0,7133,0,7133,0,7133
2016,9.7600000000000000e+02,0,186201,0,186201,0,186201
2016,9.7700000000000000e+02,3620,26825,0,26825,0,30445
2016,1.0200000000000000e+03,590,8700,0,8700,0,9290
2016,9.9400000000000000e+02,27528,976433,0,976433,0,1003961
2016,9.9500000000000000e+02,25800,2047,0,2047,0,27847
2016,1.0600000000000000e+03,300,0,0,0,0,300
2016,1.0050000000000000e+03,1152,5695,0,5695,0,6847
2016,1.0610000000000000e+03,0,6000,0,6000,0,6000
2016,1.0060000000000000e+03,0,73750,0,73750,0,73750
2016,1.0880000000000000e+03,24013,164769,0,164769,0,188782
2016,1.0890000000000000e+03,8615,212736,0,212736,0,221351
2016,1.0760000000000000e+03,0,1147,0,1147,0,1147
2016,1.0780000000000000e+03,0,930450,0,930450,0,930450
2016,1.0330000000000000e+03,379786,1169592,0,1169592,0,1549378
2016,1.0370000000000000e+03,0,0,0,0,1,1
2016,1.0390000000000000e+03,0,124184,0,124184,0,124184
2016,1.0670000000000000e+03,36521,161135,0,161135,0,197656
2016,1.0650000000000000e+03,623,68088,0,68088,0,68711
2016,1.0660000000000000e+03,201895,1275794,0,1275794,0,1477689
2016,1.1000000000000000e+03,0,0,0,0,1,1
2016,1.1050000000000000e+03,10353,15848,0,15848,0,26201
2016,1.1070000000000000e+03,0,68794,0,68794,1496,70290
2016,1.1110000000000000e+03,0,749131,0,749131,0,749131
2016,1.1210000000000000e+03,0,74877,0,74877,33333,108210
2016,2.0700000000000000e+02,3842,181066,,181066,0,184908
2016,4.3100000000000000e+02,732,64606,,64606,0,65338
2016,3.8700000000000000e+02,0,299204,0,299204,0,299204
2016,1.7900000000000000e+02,0,59957,0,59957,0,59957
2016,6.0600000000000000e+02,0,248146,0,248146,0,248146
2016,9.2500000000000000e+02,5006,12661,0,12661,59127,76794
2016,5.4100000000000000e+02,0,68178,0,68178,0,68178
2016,7.9700000000000000e+02,0,61060,0,61060,0,61060
2016,6.2700000000000000e+02,0,180007,0,180007,0,180007
2016,1.7300000000000000e+02,0,21888,0,21888,0,21888
2016,6.3600000000000000e+02,0,675942,0,675942,0,675942
2016,2.0500000000000000e+02,4677,1110821,0,1110821,0,1115498
2016,8.1400000000000000e+02,0,94991,0,94991,0,94991
2016,8.8100000000000000e+02,0,15629,0,15629,0,15629
2016,7.7100000000000000e+02,0,132090,132090,0,0,132090
2016,5.3300000000000000e+02,3557,141977,0,141977,0,145534
2016,4.4700000000000000e+02,0,298423,0,298423,0,298423
2016,8.1500000000000000e+02,0,40812,0,40812,0,40812
2016,8.0100000000000000e+02,0,75460,0,75460,0,75460
2016,8.0000000000000000e+02,12352,504080,33963,470117,0,516432
2016,3.8900000000000000e+02,0,152981,0,152981,0,152981
2016,6.9500000000000000e+02,0,144898,0,144898,0,144898
2016,8.1600000000000000e+02,0,59878,0,59878,0,59878
2016,8.3300000000000000e+02,0,59878,0,59878,0,59878
2016,8.7000000000000000e+02,39793,807339,0,807339,0,847132
2016,9.2700000000000000e+02,0,491964,0,491964,0,491964
2016,9.6100000000000000e+02,0,0,0,0,0,0
2016,9.6200000000000000e+02,8150,248121,,248121,248121,504392
2016,1.0790000000000000e+03,0,0,0,0,0,0
2016,1.1010000000000000e+03,3020,1140453,0,1140453,0,1143473
2016,6.6600000000000000e+02,17800,2186594,132692,2053902,1499,2205893
2016,3.9200000000000000e+02,0,54832,23948,30884,0,54832
2016,7.9000000000000000e+02,0,4891961,0,4891961,0,4891961
2016,6.5000000000000000e+02,0,832231,0,832231,0,832231
2016,8.7600000000000000e+02,0,0,0,0,705596,705596
2016,9.4400000000000000e+02,0,0,0,0,311422,311422
2016,9.5200000000000000e+02,82503,851461,0,851461,0,933964
2016,5.4000000000000000e+01,0,0,0,0,0,0
2016,3.6700000000000000e+02,0,13553542,13019795,533747,0,13553542
2016,5.3800000000000000e+02,0,465005,0,465005,0,465005
2016,5.5700000000000000e+02,0,259911,0,259911,0,259911
2016,6.5300000000000000e+02,0,0,0,0,387707,387707
2016,6.4700000000000000e+02,0,415940,0,415940,0,415940
2016,9.7800000000000000e+02,0,648574,0,648574,0,648574
2016,9.9600000000000000e+02,0,125431,0,125431,0,125431
2016,7.2900000000000000e+02,0,453408,0,453408,0,453408
2016,1.8200000000000000e+02,700,225687,0,225687,0,226387
2016,6.3300000000000000e+02,54359,2213708,0,2213708,0,2268067
2016,6.8500000000000000e+02,0,83086,0,83086,0,83086
2016,6.8300000000000000e+02,0,36288,0,36288,0,36288
2016,9.4500000000000000e+02,0,187267,0,187267,0,187267
2016,9.5300000000000000e+02,0,232708,0,232708,0,232708
2016,1.0220000000000000e+03,0,27383,0,27383,0,27383
2016,1.0490000000000000e+03,0,11502,0,11502,0,11502
2016,7.9400000000000000e+02,0,3584779,0,3584779,0,3584779
2016,4.1500000000000000e+02,0,177742,0,177742,151452,329194
2016,5.9200000000000000e+02,0,1745711,0,1745711,0,1745711
2016,4.9700000000000000e+02,21902,166414,0,166414,0,188316
2016,4.5800000000000000e+02,69750,1048837,0,1048837,0,1118587
2016,7.2600000000000000e+02,0,1200664,0,1200664,0,1200664
2016,2.7200000000000000e+02,0,530428,319046,211382,60346,590774
2016,8.0500000000000000e+02,0,1230669,58208,1172461,0,1230669
2016,5.0000000000000000e+00,19622,235874,0,235874,0,255496
2016,2.3400000000000000e+02,0,180440,,180440,0,180440
2016,6.4000000000000000e+01,0,0,0,0,0,0
2016,8.4200000000000000e+02,0,54398,0,54398,0,54398
2016,8.4300000000000000e+02,0,0,0,0,0,0
2016,8.0300000000000000e+02,0,197172,0,197172,0,197172
2016,2.1100000000000000e+02,3458,71199,0,71199,0,74657
2016,7.7300000000000000e+02,0,857592,0,857592,0,857592
2016,4.2400000000000000e+02,0,1664735,435075,1229660,0,1664735
2016,2.9800000000000000e+02,0,418278,0,418278,0,418278
2016,5.9400000000000000e+02,2710,27344,0,27344,0,30054
2016,2.3700000000000000e+02,85779,226018,0,226018,0,311797
2016,1.6000000000000000e+01,0,7258,0,7258,0,7258
2016,7.6800000000000000e+02,54488,762767,0,762767,35740,852995
2016,6.1700000000000000e+02,201749,901163,0,901163,0,1102912
2016,2.9700000000000000e+02,0,26076,0,26076,0,26076
2016,1.0500000000000000e+02,0,13626,0,13626,0,13626
2016,5.4400000000000000e+02,99904,180502,0,180502,0,280406
2016,8.0400000000000000e+02,1452,667576,0,667576,0,669028
2016,1.0400000000000000e+02,2153,43287,0,43287,1337,46777
2016,2.0000000000000000e+01,0,0,0,0,1,1
2016,5.5000000000000000e+02,20252,388986,0,388986,0,409238
2016,1.1200000000000000e+02,314,490886,0,490886,0,491200
2016,8.1800000000000000e+02,0,73791,0,73791,0,73791
2016,8.8200000000000000e+02,12710,10932,0,10932,0,23642
2016,9.1400000000000000e+02,0,24824,0,24824,0,24824
2016,9.2800000000000000e+02,0,144402,0,144402,0,144402
2016,9.6400000000000000e+02,152522,589661,0,589661,1629,743812
2016,1.0260000000000000e+03,0,15128,0,15128,0,15128
2016,1.0680000000000000e+03,5192,1072504,0,1072504,297,1077993
2016,1.1080000000000000e+03,0,522566,0,522566,0,522566
2016,4.0400000000000000e+02,0,665988,0,665988,0,665988
2016,2.7000000000000000e+02,0,572224,0,572224,0,572224
2016,6.7600000000000000e+02,0,67000,0,67000,0,67000
2016,7.0900000000000000e+02,0,43738,0,43738,0,43738
2016,7.5400000000000000e+02,0,0,0,0,0,0
2016,9.9700000000000000e+02,0,223370,0,223370,0,223370
2016,1.0690000000000000e+03,0,67627,0,67627,0,67627
2016,1.1180000000000000e+03,19454,0,0,0,10460098,10479552
2016,7.3400000000000000e+02,0,556451,0,556451,0,556451
2016,2.9900000000000000e+02,0,330133,0,330133,0,330133
2016,6.4500000000000000e+02,131853,143724,,143724,0,275577
2016,1.7000000000000000e+01,0,0,0,0,0,0
2016,1.0460000000000000e+03,0,0,0,0,0,0
2016,4.2000000000000000e+02,19637,342923,0,342923,7407,369967
2016,8.0200000000000000e+02,0,68143,0,68143,0,68143
2016,2.6600000000000000e+02,57325,941075,0,941075,0,998400
2016,1.3700000000000000e+02,0,101584,0,101584,0,101584
2016,7.6900000000000000e+02,0,236410,0,236410,0,236410
2016,7.7600000000000000e+02,47207,105270,0,105270,0,152477
2016,6.4000000000000000e+02,43779,47015,0,47015,0,90794
2016,3.1500000000000000e+02,0,2140556,0,2140556,0,2140556
2016,4.0000000000000000e+01,6325,97138,0,97138,0,103463
2016,5.0800000000000000e+02,0,248828,0,248828,0,248828
2016,4.6000000000000000e+01,629,36216,0,36216,0,36845
2016,5.9000000000000000e+02,65603,46980,0,46980,0,112583
2016,7.7700000000000000e+02,55383,60496,0,60496,0,115879
2016,8.9700000000000000e+02,424074,686987,0,686987,0,1111061
2016,9.6500000000000000e+02,5356,56515,0,56515,23126,84997
2016,4.6100000000000000e+02,0,661,0,661,0,661
2016,3.7600000000000000e+02,16264,485562,0,485562,0,501826
2016,6.2100000000000000e+02,0,0,0,0,201121,201121
2016,7.9300000000000000e+02,0,555899,0,555899,0,555899
2016,1.1020000000000000e+03,20352,146323,0,146323,0,166675
2016,7.1200000000000000e+02,0,520104,0,520104,0,520104
2016,3.2000000000000000e+01,0,4634,0,4634,0,4634
2016,3.6100000000000000e+02,0,83103,0,83103,0,83103
2016,4.8600000000000000e+02,0,99343,0,99343,0,99343
2016,5.9500000000000000e+02,0,344961,0,344961,0,344961
2016,4.3300000000000000e+02,0,154256,0,154256,0,154256
2016,1.0580000000000000e+03,0,0,0,0,0,0
2016,2.6100000000000000e+02,10829,69162,0,69162,0,79991
2016,7.3000000000000000e+02,0,12256,0,12256,20364,32620
2016,5.7700000000000000e+02,0,5284,0,5284,16521,21805
2016,7.8800000000000000e+02,0,167325,0,167325,0,167325
2016,8.6500000000000000e+02,21150,95269,0,95269,0,116419
2016,9.7900000000000000e+02,0,33983,0,33983,0,33983
2016,9.9800000000000000e+02,0,41253,0,41253,0,41253
2016,1.0720000000000000e+03,253,246008,0,246008,0,246261
2016,2.2100000000000000e+02,6753,347083,0,347083,0,353836
2016,5.0600000000000000e+02,0,107039,0,107039,0,107039
2016,7.2700000000000000e+02,11400,1009894,0,1009894,0,1021294
2016,3.5500000000000000e+02,7416,66563,0,66563,0,73979
2016,4.8700000000000000e+02,5503,67563,0,67563,0,73066
2016,9.3800000000000000e+02,0,2063227,17245,2045982,74530,2137757
2016,8.8600000000000000e+02,238703,574048,112325,461723,0,812751
2016,8.3500000000000000e+02,0,137006,0,137006,0,137006
2016,9.9900000000000000e+02,0,0,0,0,0,0
2016,7.9800000000000000e+02,0,2579424,0,2579424,0,2579424
2016,5.0400000000000000e+02,41600,349169,0,349169,0,390769
2016,2.4700000000000000e+02,6078,555465,0,555465,0,561543
2016,2.1600000000000000e+02,34194,5276584,0,5276584,0,5310778
2016,6.5400000000000000e+02,50688,5136152,540902,4595250,0,5186840
2016,6.5000000000000000e+01,0,1885077,760992,1124085,0,1885077
2016,4.7200000000000000e+02,16654,184704,0,184704,0,201358
2016,4.2700000000000000e+02,0,49186,0,49186,0,49186
2016,4.9100000000000000e+02,0,428613,0,428613,0,428613
2016,5.5100000000000000e+02,51396,10389,0,10389,1060737,1122522
2016,1.0600000000000000e+02,0,66680,0,66680,0,66680
2016,8.1900000000000000e+02,0,32086,0,32086,0,32086
2016,8.3600000000000000e+02,0,1000,0,1000,0,1000
2016,9.1500000000000000e+02,0,33922,0,33922,0,33922
2016,9.4200000000000000e+02,10494,189875,0,189875,187137,387506
2016,7.4800000000000000e+02,5016,1137548,0,1137548,0,1142564
2016,1.9800000000000000e+02,0,13930,0,13930,0,13930
2016,8.7100000000000000e+02,0,212443,0,212443,0,212443
2016,9.4800000000000000e+02,12293,233119,0,233119,0,245412
2016,1.0510000000000000e+03,0,0,0,0,0,0
2016,1.0830000000000000e+03,0,8248,0,8248,0,8248
2016,1.0960000000000000e+03,0,7651,0,7651,0,7651
2016,6.7900000000000000e+02,0,1168745,0,1168745,0,1168745
2016,1.7600000000000000e+02,12892,569847,0,569847,0,582739
2016,5.3700000000000000e+02,0,60514,0,60514,0,60514
2016,6.0800000000000000e+02,0,0,0,0,0,0
2016,5.9600000000000000e+02,0,0,0,0,0,0
2016,7.4900000000000000e+02,0,3024089,0,3024089,0,3024089
2016,7.5800000000000000e+02,0,5162109,0,5162109,0,5162109
2016,1.1040000000000000e+03,0,1111247,0,1111247,0,1111247
2016,4.3600000000000000e+02,0,230070,0,230070,0,230070
2016,5.6700000000000000e+02,0,73999,0,73999,0,73999
2016,6.7700000000000000e+02,0,1514530,0,1514530,0,1514530
2016,6.7000000000000000e+02,0,313221,0,313221,0,313221
2016,5.8800000000000000e+02,0,128530,0,128530,0,128530
2016,7.5300000000000000e+02,0,573722,0,573722,0,573722
2016,8.8700000000000000e+02,0,32602,0,32602,0,32602
2016,2.4500000000000000e+02,6474,479607,0,479607,0,486081
2016,6.0300000000000000e+02,14040,1144766,0,1144766,0,1158806
2016,4.2600000000000000e+02,1048,262694,0,262694,0,263742
2016,2.3200000000000000e+02,0,25063,0,25063,55139,80202
2016,2.8800000000000000e+02,0,525287,0,525287,0,525287
2016,2.4600000000000000e+02,101149,137560,0,137560,0,238709
2016,2.8400000000000000e+02,55386,600670,0,600670,0,656056
2016,1.8000000000000000e+01,,712930,,712930,0,712930
2016,3.5600000000000000e+02,0,457486,0,457486,0,457486
2016,4.0100000000000000e+02,20102,472629,0,472629,0,492731
2016,7.3300000000000000e+02,84780,7552628,0,7552628,2048428,9685836
2016,2.4300000000000000e+02,35150,1444866,0,1444866,0,1480016
2016,3.8000000000000000e+02,0,170868,0,170868,0,170868
2016,7.1600000000000000e+02,131995,0,0,0,147630,279625
2016,5.3400000000000000e+02,9643,4393096,0,4393096,0,4402739
2016,1.8500000000000000e+02,0,283807,0,283807,0,283807
2016,2.5800000000000000e+02,1062679,40388403,0,40388403,1819413,43270495
2016,5.0500000000000000e+02,0,0,0,0,55000,55000
2016,2.6800000000000000e+02,601759,76091442,0,76091442,4379395,81072596
2016,6.0200000000000000e+02,55497,1430959,0,1430959,159543,1645999
2016,2.5400000000000000e+02,3081,1084504,0,1084504,0,1087585
2016,7.0500000000000000e+02,96561,2069081,0,2069081,0,2165642
2016,1.3300000000000000e+02,0,123843,0,123843,0,123843
2016,3.3000000000000000e+01,0,0,0,0,0,0
2016,1.4300000000000000e+02,292189,354712,0,354712,0,646901
2016,3.6000000000000000e+01,0,186515,0,186515,0,186515
