año,NCODI,Urg_altas,Urg_ingresos,Urg_traslados,Urg_exitus,Urg_total
2016,5.9000000000000000e+02,29290,4797,620,25,34732
2016,7.7700000000000000e+02,28288,3626,690,8,32612
2016,8.9700000000000000e+02,106763,28802,109,97,135771
2016,9.6500000000000000e+02,0,0,0,0,0
2016,4.6100000000000000e+02,2183,107,34,0,2324
2016,3.7600000000000000e+02,12567,476,71,3,13117
2016,6.2100000000000000e+02,23378,3090,427,54,26949
2016,7.9300000000000000e+02,147327,23599,714,210,171850
2016,1.1020000000000000e+03,77262,1694,60,0,79016
2016,7.1200000000000000e+02,27454,6525,294,22,34295
2016,3.2000000000000000e+01,0,0,0,0,0
2016,3.6100000000000000e+02,0,0,0,0,0
2016,4.8600000000000000e+02,9511,695,32,0,10238
2016,5.9500000000000000e+02,27262,4944,331,54,32591
2016,4.3300000000000000e+02,10596,960,546,4,12106
2016,1.0580000000000000e+03,791,388,209,1,1389
2016,2.6100000000000000e+02,18518,1142,267,6,19933
2016,7.3000000000000000e+02,63790,5361,1077,59,70287
2016,5.7700000000000000e+02,36096,7125,714,47,43982
2016,7.8800000000000000e+02,128762,17139,2375,68,148344
2016,8.6500000000000000e+02,54619,2956,723,75,58373
2016,9.7900000000000000e+02,15606,559,1250,3,17418
2016,9.9800000000000000e+02,18828,146,985,2,19961
2016,1.0720000000000000e+03,23508,242,1548,11,25309
2016,2.2100000000000000e+02,3560,1237,42,1,4840
2016,5.0600000000000000e+02,23501,652,307,2,24462
2016,7.2700000000000000e+02,47219,9581,514,66,57380
2016,3.5500000000000000e+02,17,17,6514,0,6548
2016,4.8700000000000000e+02,2017,273,59,1,2350
2016,9.3800000000000000e+02,105105,20928,4972,198,131203
2016,8.8600000000000000e+02,2102,2351,8,0,4461
2016,8.3500000000000000e+02,4248,110,0,0,4358
2016,9.9900000000000000e+02,0,0,0,0,0
2016,7.9800000000000000e+02,76653,14472,2778,196,94099
2016,5.0400000000000000e+02,3435,1246,89,0,4770
2016,2.4700000000000000e+02,23310,1347,65,0,24722
2016,2.1600000000000000e+02,18527,1353,40,2,19922
2016,6.5400000000000000e+02,10635,1071,28,0,11734
2016,6.5000000000000000e+01,0,0,0,0,0
2016,4.7200000000000000e+02,14220,1150,338,6,15714
2016,4.2700000000000000e+02,0,0,0,0,0
2016,4.9100000000000000e+02,7973,1062,252,5,9292
2016,5.5100000000000000e+02,13901,572,141,5,14619
2016,1.0600000000000000e+02,0,0,0,0,0
2016,8.1900000000000000e+02,0,0,0,0,0
2016,8.3600000000000000e+02,0,0,0,0,0
2016,9.1500000000000000e+02,0,0,0,0,0
2016,9.4200000000000000e+02,0,0,0,0,0
2016,7.4800000000000000e+02,88499,17109,85,59,105752
2016,1.9800000000000000e+02,0,0,0,0,0
2016,8.7100000000000000e+02,17475,2846,648,15,20984
2016,9.4800000000000000e+02,28635,1049,59,0,29743
2016,1.0510000000000000e+03,0,0,0,0,0
2016,1.0830000000000000e+03,0,0,0,0,0
2016,1.0960000000000000e+03,0,0,0,0,0
2016,6.7900000000000000e+02,80941,15469,190,119,96719
2016,1.7600000000000000e+02,9332,506,62,0,9900
2016,5.3700000000000000e+02,16330,925,369,3,17627
2016,6.0800000000000000e+02,20344,3618,298,84,24344
2016,5.9600000000000000e+02,11722,3080,394,67,15263
2016,7.4900000000000000e+02,128803,17467,789,175,147234
2016,7.5800000000000000e+02,217418,27607,1144,232,246401
2016,1.1040000000000000e+03,107449,22476,894,120,130939
2016,4.3600000000000000e+02,0,0,0,0,0
2016,5.6700000000000000e+02,35,10,3,0,48
2016,6.7700000000000000e+02,85675,9950,756,77,96458
2016,6.7000000000000000e+02,66459,3345,85,1,69890
2016,5.8800000000000000e+02,0,0,0,0,0
2016,7.5300000000000000e+02,219273,30365,449,162,250249
2016,8.8700000000000000e+02,148,813,35,0,996
2016,2.4500000000000000e+02,24951,3853,232,14,29050
2016,6.0300000000000000e+02,139639,4907,536,4,145086
2016,4.2600000000000000e+02,0,0,0,0,0
2016,2.3200000000000000e+02,21354,2243,16,0,23613
2016,2.8800000000000000e+02,19976,570,253,6,20805
2016,2.4600000000000000e+02,9001,645,36,0,9682
2016,2.8400000000000000e+02,12137,1810,18,8,13973
2016,1.8000000000000000e+01,0,0,0,0,0
2016,3.5600000000000000e+02,919,977,0,0,1896
2016,4.0100000000000000e+02,0,0,0,0,0
2016,7.3300000000000000e+02,130591,18136,325,87,149139
2016,2.4300000000000000e+02,16102,2005,11,2,18120
2016,3.8000000000000000e+02,0,0,0,0,0
2016,7.1600000000000000e+02,10304,650,9,0,10963
2016,5.3400000000000000e+02,80648,2711,43,0,83402
2016,1.8500000000000000e+02,3573,318,7,0,3898
2016,2.5800000000000000e+02,13592,2040,0,1,15633
2016,5.0500000000000000e+02,5152,26,30,0,5208
2016,2.6800000000000000e+02,28603,1259,0,0,29862
2016,6.0200000000000000e+02,0,0,0,0,0
2016,2.5400000000000000e+02,30302,1839,61,2,32204
2016,7.0500000000000000e+02,54711,3084,123,3,57921
2016,1.3300000000000000e+02,8953,2259,11,0,11223
2016,3.3000000000000000e+01,0,0,0,0,0
2016,1.4300000000000000e+02,2428,624,9,0,3061
2016,3.6000000000000000e+01,0,0,0,0,0
2016,7.5600000000000000e+02,61868,6656,567,27,69118
2016,6.6200000000000000e+02,129063,12112,647,66,141888
2016,1.9200000000000000e+02,0,0,0,0,0
2016,3.8200000000000000e+02,0,0,0,0,0
2016,3.2200000000000000e+02,0,0,0,0,0
2016,4.7800000000000000e+02,9907,569,373,0,10849
2016,3.5200000000000000e+02,0,0,0,0,0
2016,6.2800000000000000e+02,99643,11382,550,62,111637
2016,2.9100000000000000e+02,0,0,0,0,0
2016,4.9500000000000000e+02,10259,976,62,0,11297
2016,8.4500000000000000e+02,83612,8582,84,11,92289
2016,4.9800000000000000e+02,38235,2790,814,50,41889
2016,3.1400000000000000e+02,0,0,0,0,0
2016,7.2000000000000000e+02,28782,3975,4,3,32764
