año,NCODI,due_cTotal,matronas_cTotal,oDueEspeciali_cTotal,fisioterapeutas_cTotal,terapeutas_cTotal,logopedas_cTotal,oSaniMedio_cTotal,gMedioSani_cTotal,gSuperiorSani_cTotal,tecSani_cTotal,restSani_cTotal2,due_cMujeres,matronas_cMujeres,oDueEspeciali_cMujeres,fisioterapeutas_cMujeres,terapeutas_cMujeres,logopedas_cMujeres,oSaniMedio_cMujeres,gMedioSani_cMujeres,gSuperiorSani_cMujeres,tecSani_cMujeres,restSani_cMujeres2,due_pTotal,matronas_pTotal,oDueEspeciali_pTotal,fisioterapeutas_pTotal,terapeutas_pTotal,logopedas_pTotal,oSaniMedio_pTotal,gMedioSani_pTotal,gSuperiorSani_pTotal,tecSani_pTotal,restSani_pTotal2,due_pMujeres,matronas_pMujeres,oDueEspeciali_pMujeres,fisioterapeutas_pMujeres,terapeutas_pMujeres,logopedas_pMujeres,oSaniMedio_pMujeres,gMedioSani_pMujeres,gSuperiorSani_pMujeres,tecSani_pMujeres,restSani_pMujeres2,due_colabTotal,matronas_colabTotal,oDueEspeciali_colabTotal,fisioterapeutas_colabTotal,terapeutas_colabTotal,logopedas_colabTotal,oSaniMedio_colabTotal,gMedioSani_colabTotal,gSuperiorSani_colabTotal,tecSani_colabTotal,restSani_colabTotal2,due_colabMujeres,matronas_colabMujeres,oDueEspeciali_colabMujeres,fisioterapeutas_colabMujeres,terapeutas_colabMujeres,logopedas_colabMujeres,oSaniMedio_colabMujeres,gMedioSani_colabMujeres,gSuperiorSani_colabMujeres,tecSani_colabMujeres,restSani_colabMujeres2,direccion_cTotal,trabSocial_cTotal,perOficio_cTotal,administrativos_cTotal,oNoSani_cTotal,direccion_cMujeres,trabSocial_cMujeres,perOficio_cMujeres,administrativos_cMujeres,oNoSani_cMujeres,direccion_pTotal,trabSocial_pTotal,perOficio_pTotal,administrativos_pTotal,oNoSani_pTotal,direccion_pMujeres,trabSocial_pMujeres,perOficio_pMujeres,administrativos_pMujeres,oNoSani_pMujeres,direccion_colabTotal,trabSocial_colabTotal,perOficio_colabTotal,administrativos_colabTotal,oNoSani_colabTotal,direccion_colabMujeres,trabSocial_colabMujeres,perOficio_colabMujeres,administrativos_colabMujeres,oNoSani_colabMujeres
2016,1.7300000000000000e+02,24,0,0,1,1,,0,155,0,155,9,21,0,0,1,1,,0,134,0,134,7,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,14,7,126,8,2,1,6,100,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2016,6.3600000000000000e+02,582,15,1,15,0,3,0,474,88,562,0,511,13,1,10,0,3,0,460,80,540,0,8,0,0,0,0,0,0,3,3,6,0,8,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,50,90,238,285,12,5,24,188,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2.0500000000000000e+02,21,0,0,0,0,0,0,12,0,12,0,16,0,0,0,0,0,0,9,0,9,0,5,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,6,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,8.1400000000000000e+02,4,0,0,0,0,0,0,4,0,4,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,3,2,1,0,0,3,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,8.8100000000000000e+02,19,0,0,0,0,0,0,16,0,16,0,17,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,8,1,1,0,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7.7100000000000000e+02,691,23,39,18,3,2,0,615,164,779,0,498,23,28,12,2,1,0,593,130,723,0,131,2,0,5,0,0,0,30,23,53,0,121,1,0,5,0,0,0,30,22,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,6,150,267,431,50,6,71,219,216,0,0,2,1,8,0,0,2,1,8,0,0,0,0,0,0,0,0,0,0
2016,5.3300000000000000e+02,14,0,0,0,0,0,0,17,1,18,0,12,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,5,,1,0,0,0,0,0,0,2,0,3,,1,0,0,0,0,0,2,0,1,15,16,1,0,0,10,12,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2016,4.4700000000000000e+02,61,2,0,3,0,0,0,86,9,95,0,55,2,0,2,0,0,0,79,5,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,25,27,2,0,0,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,8.1500000000000000e+02,6,0,0,0,0,0,0,0,6,6,0,6,0,0,0,0,0,0,0,5,5,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,1,2,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0
2016,8.0100000000000000e+02,594,27,19,15,3,1,0,466,133,599,0,462,25,14,11,3,1,0,450,115,565,0,36,1,0,0,0,0,0,9,6,15,0,33,1,0,0,0,0,0,9,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5,153,181,197,20,3,75,151,86,0,0,2,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
