año,NCODI,camas_instalada,incubadoras_instalada,paritorios_instalada,quirofanos_instalada,salasHemo_instalada,camas_funcionamiento,incubadoras_funcionamiento,paritorios_funcionamiento,quirofanos_funcionamiento,salasHemo_funcionamiento,salas_rx_Hospital,salas_rx_CEP,puesto_HDia_medico,puesto_HDia_psiquiatrico,puesto_HDia_geriatrico,integradasPuestos_HDia_CMA,propiasPuestos_HDia_CMA,propiasQuirofanos_HDia_CMA
2016,3.9400000000000000e+02,55,0,0,2,0,55,0,0,2,0,2,0,0,0,0,0,0,0
2016,6.1400000000000000e+02,22,0,0,2,0,22,0,0,2,0,0,0,0,0,0,0,7,0
2016,2.3500000000000000e+02,33,0,0,4,0,14,0,0,3,0,2,0,0,0,0,0,0,0
2016,6.1600000000000000e+02,90,0,0,6,0,57,0,0,6,0,0,0,20,0,0,0,15,0
2016,2.6700000000000000e+02,181,4,2,9,1,163,4,2,9,1,2,0,4,0,0,0,0,0
2016,5.6500000000000000e+02,200,0,0,5,0,178,0,0,5,0,1,0,8,0,0,0,22,0
2016,2.2000000000000000e+02,138,3,3,9,0,138,3,3,9,0,3,0,17,0,0,0,0,0
2016,2.7800000000000000e+02,154,6,3,8,0,154,6,3,8,0,0,0,0,0,0,0,0,0
2016,1.0700000000000000e+02,112,0,0,0,0,112,0,0,0,0,0,0,0,15,55,0,0,0
2016,7.1100000000000000e+02,623,17,3,22,3,549,17,3,22,3,7,0,93,42,0,22,0,0
2016,2.0400000000000000e+02,116,0,0,0,0,116,0,0,0,0,1,0,0,0,22,0,0,0
2016,5.7900000000000000e+02,31,0,0,2,0,31,0,0,2,0,4,0,0,0,0,0,0,0
2016,3.4800000000000000e+02,152,0,0,2,0,139,0,0,2,0,1,0,70,0,0,0,0,0
2016,7.6600000000000000e+02,116,0,0,8,0,111,0,0,8,0,5,0,8,0,0,0,0,0
2016,7.6100000000000000e+02,317,0,0,0,0,317,0,0,0,0,0,0,0,25,60,0,0,0
2016,7.2800000000000000e+02,336,0,0,19,0,291,0,0,19,0,7,0,11,0,0,0,17,4
2016,2.8000000000000000e+02,144,12,4,10,1,144,12,4,10,1,5,0,10,0,0,0,12,3
2016,2.2200000000000000e+02,44,0,0,6,0,44,0,0,6,0,2,0,1,0,0,0,0,0
2016,2.7600000000000000e+02,202,10,3,14,1,202,10,3,14,1,8,0,16,0,0,18,0,0
2016,1.1000000000000000e+01,201,0,2,8,1,170,0,2,8,1,4,0,9,0,0,0,2,0
2016,3.0200000000000000e+02,60,2,1,3,0,60,2,1,3,0,0,0,0,0,0,1,1,1
2016,6.8200000000000000e+02,161,0,0,8,0,161,0,0,8,0,1,0,11,0,0,0,0,0
2016,2.7900000000000000e+02,181,20,5,9,1,181,20,5,9,1,4,0,10,0,0,0,10,3
2016,2.8200000000000000e+02,257,11,3,21,1,257,11,3,21,1,8,0,11,0,0,0,31,4
2016,2.8100000000000000e+02,273,8,5,10,1,273,8,4,10,1,3,0,10,0,0,0,15,0
2016,1.8300000000000000e+02,30,0,0,3,0,30,0,0,3,0,1,0,0,0,0,0,0,0
2016,6.1000000000000000e+02,43,0,0,5,0,43,0,0,5,0,1,0,0,0,0,0,19,0
2016,1.1600000000000000e+02,428,0,0,0,0,389,0,0,0,0,0,0,0,0,20,0,0,0
2016,1.1500000000000000e+02,50,0,0,0,0,50,0,0,0,0,1,0,0,0,0,0,0,0
2016,1.1400000000000000e+02,74,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0
2016,1.1900000000000000e+02,30,0,0,4,0,30,0,0,4,0,1,0,0,0,0,0,0,0
2016,7.7000000000000000e+02,573,13,3,21,1,553,13,3,21,1,16,0,31,18,0,0,9,5
2016,5.8300000000000000e+02,130,0,0,4,0,116,0,0,4,0,4,0,23,0,0,0,0,4
2016,1.3600000000000000e+02,209,0,0,0,0,172,0,0,0,0,1,0,0,0,46,0,0,0
2016,4.6900000000000000e+02,108,2,1,3,0,99,2,1,3,0,2,0,12,0,15,9,9,0
2016,6.4200000000000000e+02,202,2,3,5,0,202,2,3,5,0,5,0,7,0,20,0,0,0
2016,6.7400000000000000e+02,344,37,6,15,1,314,37,6,15,1,10,1,24,82,0,0,26,5
2016,1.9300000000000000e+02,155,0,0,0,0,155,0,0,0,0,1,0,0,0,17,0,0,0
2016,5.2600000000000000e+02,332,12,2,9,0,328,12,2,9,0,8,0,34,0,68,0,10,0
2016,6.9800000000000000e+02,780,0,0,28,2,649,0,0,28,2,10,0,19,10,0,0,24,0
2016,6.3000000000000000e+02,75,3,2,10,0,68,3,2,10,0,3,0,8,0,0,0,0,0
2016,1.2400000000000000e+02,140,0,0,0,0,130,0,0,0,0,0,0,0,0,30,0,0,0
2016,3.6400000000000000e+02,74,0,0,0,0,68,0,0,0,0,0,0,0,0,35,0,0,0
2016,4.3900000000000000e+02,56,4,2,5,0,56,4,2,5,0,2,0,4,0,0,0,0,1
2016,5.7000000000000000e+02,488,8,5,17,0,488,8,5,17,0,5,0,57,31,0,0,0,2
2016,1.2300000000000000e+02,190,0,0,0,0,153,0,0,0,0,0,0,0,0,58,0,0,0
2016,3.1000000000000000e+02,415,0,0,0,0,396,0,0,0,0,0,0,0,55,57,0,0,0
2016,5.7100000000000000e+02,129,2,2,5,0,129,2,2,5,0,3,0,16,0,0,0,1,1
2016,2.9600000000000000e+02,177,0,0,0,0,177,0,0,0,0,1,0,0,0,22,0,0,0
2016,5.6600000000000000e+02,155,4,3,7,0,118,4,3,7,0,3,0,20,20,0,11,0,0
2016,7.8400000000000000e+02,712,18,6,16,0,712,18,6,16,0,6,0,109,60,18,0,17,4
2016,1.0200000000000000e+02,677,0,0,0,0,677,0,0,0,0,1,0,0,15,20,0,0,0
2016,3.7900000000000000e+02,446,0,0,0,0,446,0,0,0,0,0,0,0,104,0,0,0,0
2016,6.3900000000000000e+02,246,1,4,5,0,199,1,4,5,0,5,0,6,0,0,0,8,0
2016,4.5700000000000000e+02,83,0,0,2,0,74,0,0,2,0,2,0,2,0,0,10,0,0
2016,6.0900000000000000e+02,334,10,2,15,2,305,10,2,15,2,13,0,8,10,0,9,0,0
2016,1.0100000000000000e+02,82,0,0,0,0,82,0,0,0,0,0,0,0,0,20,0,0,0
