año,NCODI,pacienteTot_hospDom,visitaTot_hospDom
2017,7.0900000000000000e+02,0,0
2017,7.5400000000000000e+02,0,0
2017,9.9700000000000000e+02,0,0
2017,1.0690000000000000e+03,0,0
2017,1.1180000000000000e+03,0,0
2017,7.3400000000000000e+02,0,0
2017,2.9900000000000000e+02,0,0
2017,6.4500000000000000e+02,0,0
2017,1.7000000000000000e+01,0,0
2017,1.0460000000000000e+03,0,0
2017,4.2000000000000000e+02,0,0
2017,8.0200000000000000e+02,0,0
2017,2.6600000000000000e+02,0,0
2017,1.3700000000000000e+02,0,0
2017,7.6900000000000000e+02,0,0
2017,7.7600000000000000e+02,602,4601
2017,6.4000000000000000e+02,746,5756
2017,3.1500000000000000e+02,0,0
2017,4.0000000000000000e+01,0,0
2017,5.0800000000000000e+02,352,5171
2017,4.6000000000000000e+01,0,0
2017,5.9000000000000000e+02,726,9936
2017,7.7700000000000000e+02,1216,12267
2017,8.9700000000000000e+02,2145,15529
2017,9.6500000000000000e+02,0,0
2017,4.6100000000000000e+02,0,0
2017,3.7600000000000000e+02,0,0
2017,6.2100000000000000e+02,0,0
2017,7.9300000000000000e+02,0,0
2017,1.1020000000000000e+03,0,0
2017,,0,0
2017,7.1200000000000000e+02,0,0
2017,3.2000000000000000e+01,0,0
2017,3.6100000000000000e+02,0,0
2017,4.8600000000000000e+02,0,0
2017,5.9500000000000000e+02,0,0
2017,4.3300000000000000e+02,0,0
2017,1.0580000000000000e+03,0,0
2017,2.6100000000000000e+02,0,0
2017,7.3000000000000000e+02,0,0
2017,5.7700000000000000e+02,0,0
2017,7.8800000000000000e+02,0,0
2017,8.6500000000000000e+02,0,0
2017,9.7900000000000000e+02,0,0
2017,9.9800000000000000e+02,0,0
2017,1.0720000000000000e+03,0,0
2017,2.2100000000000000e+02,0,0
2017,5.0600000000000000e+02,0,0
2017,7.2700000000000000e+02,296,1979
2017,3.5500000000000000e+02,0,0
2017,4.8700000000000000e+02,0,0
2017,9.3800000000000000e+02,0,0
2017,8.8600000000000000e+02,0,0
2017,8.3500000000000000e+02,0,0
2017,9.9900000000000000e+02,0,0
2017,7.9800000000000000e+02,1250,11629
2017,5.0400000000000000e+02,0,0
2017,2.4700000000000000e+02,0,0
