año,NCODI,Urg_altas,Urg_ingresos,Urg_traslados,Urg_exitus,Urg_total
2017,6.1000000000000000e+02,13709,40,0,0,13749
2017,1.1600000000000000e+02,0,0,0,0,0
2017,1.1500000000000000e+02,0,0,0,0,0
2017,1.1400000000000000e+02,0,0,0,0,0
2017,1.1900000000000000e+02,46,17,0,0,63
2017,7.7000000000000000e+02,114003,13289,2069,149,129510
2017,5.8300000000000000e+02,50461,2539,664,21,53685
2017,1.3600000000000000e+02,0,0,0,0,0
2017,4.6900000000000000e+02,27402,2309,139,10,29860
2017,6.4200000000000000e+02,43432,7415,831,67,51745
2017,6.7400000000000000e+02,130655,9954,103,2,140714
2017,1.9300000000000000e+02,0,0,0,0,0
2017,5.2600000000000000e+02,101573,10970,450,36,113029
2017,6.9800000000000000e+02,93153,13933,3949,280,111315
2017,6.3000000000000000e+02,54713,3975,784,17,59489
2017,1.2400000000000000e+02,0,0,0,0,0
2017,3.6400000000000000e+02,0,0,0,0,0
2017,4.3900000000000000e+02,34897,1323,437,0,36657
2017,5.7000000000000000e+02,93554,13076,2700,23,109353
2017,1.2300000000000000e+02,0,0,0,0,0
2017,3.1000000000000000e+02,2056,1168,0,0,3224
2017,5.7100000000000000e+02,49615,4653,952,69,55289
2017,2.9600000000000000e+02,5193,0,0,0,5193
2017,5.6600000000000000e+02,64241,4975,1255,47,70518
2017,7.8400000000000000e+02,122640,15419,3234,364,141657
2017,1.0200000000000000e+02,0,0,0,0,0
2017,3.7900000000000000e+02,0,0,0,0,0
2017,6.3900000000000000e+02,80824,7761,1331,21,89937
2017,4.5700000000000000e+02,26200,1518,334,16,28068
2017,6.0900000000000000e+02,119895,9636,83,3,129617
2017,1.0100000000000000e+02,0,0,0,0,0
2017,4.5400000000000000e+02,49249,7167,292,12,56720
2017,3.1800000000000000e+02,3112,809,163,0,4084
2017,6.0000000000000000e+02,57669,5627,545,4,63845
2017,5.4500000000000000e+02,104662,9367,502,146,114677
2017,1.0000000000000000e+02,0,0,0,0,0
2017,7.0200000000000000e+02,108807,10737,1672,106,121322
2017,7.7800000000000000e+02,52131,8833,546,43,61553
2017,3.4100000000000000e+02,6088,167,53,0,6308
2017,9.9000000000000000e+01,0,0,0,0,0
2017,7.6700000000000000e+02,40950,5496,1491,53,47990
2017,3.5900000000000000e+02,43027,46,1168,1,44242
2017,9.8000000000000000e+01,0,0,0,0,0
2017,1.3200000000000000e+02,0,0,0,0,0
2017,9.7000000000000000e+01,0,0,0,0,0
2017,1.0300000000000000e+02,0,0,0,0,0
2017,1.1000000000000000e+02,0,0,0,0,0
2017,9.4000000000000000e+01,0,0,0,0,0
2017,9.1000000000000000e+01,0,0,0,0,0
2017,6.6400000000000000e+02,101307,11399,1061,120,113887
2017,9.1800000000000000e+02,167162,30301,3560,321,201344
2017,9.2000000000000000e+01,0,0,0,0,0
2017,9.5000000000000000e+01,0,0,0,0,0
2017,3.0100000000000000e+02,18364,0,65,0,18429
2017,4.9200000000000000e+02,47046,3826,967,23,51862
2017,8.1100000000000000e+02,10362,1289,16,1,11668
2017,8.1200000000000000e+02,0,0,0,0,0
2017,8.3200000000000000e+02,0,0,0,0,0
2017,8.4100000000000000e+02,0,0,0,0,0
2017,8.5600000000000000e+02,0,0,0,0,0
2017,8.5900000000000000e+02,0,0,0,0,0
2017,8.6100000000000000e+02,0,0,0,0,0
2017,8.8000000000000000e+02,0,0,0,0,0
2017,8.8300000000000000e+02,0,0,0,0,0
2017,8.8400000000000000e+02,0,0,0,0,0
2017,8.7700000000000000e+02,0,0,0,0,0
2017,9.1100000000000000e+02,0,0,0,0,0
2017,9.1300000000000000e+02,1967,271,115,0,2353
2017,9.2200000000000000e+02,44037,1373,0,1,45411
2017,9.2300000000000000e+02,0,0,0,0,0
2017,9.2400000000000000e+02,0,0,0,0,0
2017,9.4700000000000000e+02,0,0,0,0,0
2017,9.5100000000000000e+02,0,0,0,0,0
2017,1.1030000000000000e+03,0,0,0,0,0
2017,9.7200000000000000e+02,0,0,0,0,0
2017,9.7300000000000000e+02,10081,102,2,0,10185
2017,9.7400000000000000e+02,0,0,0,0,0
2017,9.7500000000000000e+02,0,0,0,0,0
2017,9.6000000000000000e+02,0,0,0,0,0
2017,1.0280000000000000e+03,0,0,0,0,0
2017,9.7600000000000000e+02,0,0,0,0,0
2017,9.7700000000000000e+02,0,0,0,0,0
2017,1.0200000000000000e+03,0,0,0,0,0
2017,9.9400000000000000e+02,54152,6693,683,16,61544
2017,9.9500000000000000e+02,0,0,0,0,0
2017,1.0600000000000000e+03,340,265,62,0,667
2017,1.0050000000000000e+03,0,0,0,0,0
2017,1.0610000000000000e+03,0,0,0,0,0
2017,1.0620000000000000e+03,0,0,0,0,0
2017,1.0060000000000000e+03,0,0,0,0,0
2017,1.0880000000000000e+03,0,0,0,0,0
2017,1.0890000000000000e+03,47812,1343,114,2,49271
2017,1.0760000000000000e+03,0,0,0,0,0
2017,1.0780000000000000e+03,0,0,0,0,0
2017,1.0330000000000000e+03,56788,8699,2034,124,67645
2017,1.0370000000000000e+03,0,0,0,0,0
2017,1.0390000000000000e+03,0,0,0,0,0
2017,1.0670000000000000e+03,0,0,0,0,0
2017,1.0650000000000000e+03,0,0,0,0,0
2017,1.0660000000000000e+03,33266,1953,47,0,35266
2017,1.1000000000000000e+03,0,0,0,0,0
2017,1.1050000000000000e+03,0,0,0,0,0
2017,1.1070000000000000e+03,0,0,0,0,0
2017,1.1110000000000000e+03,0,0,0,0,0
2017,1.1210000000000000e+03,0,0,0,0,0
2017,1.1190000000000000e+03,0,0,0,0,0
2017,2.0700000000000000e+02,19212,798,179,0,20189
2017,4.3100000000000000e+02,0,0,0,0,0
2017,3.8700000000000000e+02,24829,3848,606,14,29297
2017,1.7900000000000000e+02,0,0,0,0,0
