año,NCODI,pacienteTot_med,sesionTot_med,pacienteTot_psiquia,sesionTot_psiquia,pacienteTot_geria,sesionTot_geria
2017,5.4500000000000000e+02,6411,22872,79,4618,353,416
2017,1.0000000000000000e+02,0,0,0,0,156,8284
2017,7.0200000000000000e+02,2724,11031,89,5215,0,0
2017,7.7800000000000000e+02,1862,10807,142,3372,0,0
2017,3.4100000000000000e+02,0,0,0,0,0,0
2017,9.9000000000000000e+01,0,0,0,0,560,9000
2017,7.6700000000000000e+02,2558,7794,0,0,0,0
2017,3.5900000000000000e+02,0,0,0,0,1079,6476
2017,9.8000000000000000e+01,0,0,0,0,88,5658
2017,1.3200000000000000e+02,0,0,0,0,0,0
2017,9.7000000000000000e+01,0,0,0,0,89,7227
2017,1.0300000000000000e+02,0,0,0,0,605,4855
2017,1.1000000000000000e+02,0,0,0,0,0,0
2017,9.4000000000000000e+01,0,0,0,0,0,0
2017,9.1000000000000000e+01,0,0,0,0,102,5112
2017,6.6400000000000000e+02,5582,21717,167,5448,0,0
2017,9.1800000000000000e+02,16964,107672,0,0,0,0
2017,9.2000000000000000e+01,0,0,0,0,0,0
2017,9.5000000000000000e+01,0,0,0,0,40,5100
2017,3.0100000000000000e+02,0,0,0,0,0,0
2017,4.9200000000000000e+02,2214,5566,0,0,0,0
2017,8.1100000000000000e+02,86,385,0,0,0,0
2017,8.1200000000000000e+02,5849,55342,0,0,0,0
2017,8.3200000000000000e+02,0,0,0,0,0,0
2017,8.4100000000000000e+02,0,0,0,0,48,9789
2017,8.5600000000000000e+02,0,0,0,0,49,4762
2017,8.5900000000000000e+02,0,0,78,1605,0,0
2017,8.6100000000000000e+02,0,0,0,0,0,0
2017,8.8000000000000000e+02,0,0,0,0,170,9159
2017,8.8300000000000000e+02,0,0,73,4800,0,0
2017,8.8400000000000000e+02,0,0,0,0,95,6739
2017,8.7700000000000000e+02,0,0,0,0,0,0
2017,9.1100000000000000e+02,0,0,0,0,207,3298
2017,9.1300000000000000e+02,0,0,195,4355,0,0
2017,9.2200000000000000e+02,0,0,0,0,0,0
2017,9.2300000000000000e+02,0,0,0,0,0,0
2017,9.2400000000000000e+02,2295,25493,0,0,0,0
2017,9.4700000000000000e+02,0,0,0,0,0,0
2017,9.5100000000000000e+02,0,0,0,0,30,5100
2017,1.1030000000000000e+03,0,0,0,0,337,7373
2017,9.7200000000000000e+02,0,0,0,0,0,0
2017,9.7300000000000000e+02,0,0,0,0,0,0
2017,9.7400000000000000e+02,0,0,0,0,0,0
2017,9.7500000000000000e+02,0,0,0,0,72,5804
2017,9.6000000000000000e+02,0,0,0,0,223,7722
2017,1.0280000000000000e+03,0,0,0,0,0,0
2017,9.7600000000000000e+02,0,0,56,2766,210,7659
2017,9.7700000000000000e+02,0,0,0,0,0,0
2017,1.0200000000000000e+03,0,0,150,2852,0,0
2017,9.9400000000000000e+02,4348,11306,0,0,0,0
2017,9.9500000000000000e+02,0,0,0,0,66,5694
2017,1.0600000000000000e+03,0,0,180,11550,0,0
2017,1.0050000000000000e+03,0,0,0,0,0,0
2017,1.0610000000000000e+03,0,0,0,0,0,0
2017,1.0620000000000000e+03,0,0,0,0,0,0
2017,1.0060000000000000e+03,0,0,82,4234,0,0
2017,1.0880000000000000e+03,0,0,0,0,0,0
2017,1.0890000000000000e+03,100,826,0,0,0,0
2017,1.0760000000000000e+03,0,0,0,0,0,0
2017,1.0780000000000000e+03,0,0,0,0,0,0
2017,1.0330000000000000e+03,8026,38879,0,0,0,0
2017,1.0370000000000000e+03,0,0,191,7185,0,0
2017,1.0390000000000000e+03,0,0,70,6603,0,0
2017,1.0670000000000000e+03,0,0,0,0,87,9191
2017,1.0650000000000000e+03,0,0,0,0,0,0
2017,1.0660000000000000e+03,251,1897,0,0,0,0
2017,1.1000000000000000e+03,0,0,0,0,218,6037
2017,1.1050000000000000e+03,0,0,0,0,0,0
2017,1.1070000000000000e+03,0,0,0,0,0,0
2017,1.1110000000000000e+03,0,0,15,5275,0,0
2017,1.1210000000000000e+03,0,0,0,0,0,0
2017,1.1190000000000000e+03,0,0,0,0,0,0
2017,2.0700000000000000e+02,35,241,0,0,0,0
2017,4.3100000000000000e+02,70,70,0,0,0,0
2017,3.8700000000000000e+02,679,3149,0,0,0,0
2017,1.7900000000000000e+02,0,0,0,0,0,0
2017,6.0600000000000000e+02,2698,5216,0,0,0,0
2017,9.2500000000000000e+02,3998,35984,389,15180,0,0
2017,5.4100000000000000e+02,253,1623,0,0,0,0
2017,7.9700000000000000e+02,596,1685,0,0,0,0
2017,6.2700000000000000e+02,2793,4722,0,0,0,0
2017,1.7300000000000000e+02,0,0,5,850,0,0
2017,6.3600000000000000e+02,1637,14741,0,0,179,4111
2017,2.0500000000000000e+02,0,0,0,0,0,0
2017,8.1400000000000000e+02,0,0,0,0,0,0
