año,NCODI,partoVaginal,cesareas,rNacVivos,vivos_menor2500,exitusMaternal
2017,1.1350000000000000e+03,0,0,0,0,0
2017,9.3400000000000000e+02,446,96,519,41,0
2017,6.2900000000000000e+02,1084,253,1396,196,0
2017,2.1000000000000000e+01,0,0,0,0,0
2017,6.1500000000000000e+02,658,177,835,35,0
2017,6.2600000000000000e+02,154,192,350,19,0
2017,4.1700000000000000e+02,0,0,0,0,0
2017,5.9700000000000000e+02,104,30,134,1,0
2017,5.3900000000000000e+02,1287,285,1572,112,0
2017,3.4300000000000000e+02,27,44,71,3,0
2017,1.3500000000000000e+02,0,0,0,0,0
2017,1.5800000000000000e+02,0,0,0,0,0
2017,7.7500000000000000e+02,801,209,1033,76,0
2017,1.7700000000000000e+02,0,0,0,0,0
2017,5.7800000000000000e+02,53,43,96,2,0
2017,4.1600000000000000e+02,0,0,0,0,0
2017,5.6100000000000000e+02,268,93,366,16,0
2017,6.2000000000000000e+01,0,0,0,0,0
2017,8.2800000000000000e+02,0,0,0,0,0
2017,8.6000000000000000e+02,21,24,45,0,0
2017,9.3500000000000000e+02,0,0,0,0,0
2017,9.3600000000000000e+02,0,0,0,0,0
2017,9.8600000000000000e+02,0,0,0,0,0
2017,9.8700000000000000e+02,494,155,649,34,0
2017,1.0210000000000000e+03,0,0,0,0,0
2017,1.0850000000000000e+03,0,0,0,0,0
2017,6.5800000000000000e+02,385,83,468,0,0
2017,3.5300000000000000e+02,0,0,0,0,0
2017,3.2300000000000000e+02,0,0,0,0,0
2017,6.2000000000000000e+02,353,77,436,22,0
2017,3.8400000000000000e+02,0,0,0,0,0
2017,5.5400000000000000e+02,833,243,1090,86,0
2017,2.0900000000000000e+02,0,0,0,0,0
2017,7.0700000000000000e+02,2414,555,3026,236,0
2017,3.9500000000000000e+02,0,0,0,0,0
2017,9.6900000000000000e+02,0,0,0,0,0
2017,1.0520000000000000e+03,0,0,0,0,0
2017,7.3900000000000000e+02,3656,1327,4768,593,0
2017,6.1300000000000000e+02,715,244,965,59,0
2017,5.9300000000000000e+02,0,0,0,0,0
2017,7.0400000000000000e+02,986,315,1333,140,0
2017,4.9300000000000000e+02,0,0,0,0,0
2017,6.8600000000000000e+02,997,341,1354,90,0
2017,2.5700000000000000e+02,947,855,1843,134,0
2017,4.9400000000000000e+02,0,0,0,0,0
2017,6.8100000000000000e+02,0,0,0,0,0
2017,2.8600000000000000e+02,0,0,0,0,0
2017,2.5500000000000000e+02,140,60,199,11,0
2017,7.9000000000000000e+01,0,0,0,0,0
2017,8.1000000000000000e+01,0,0,0,0,0
2017,6.8800000000000000e+02,797,299,1106,66,0
2017,5.3100000000000000e+02,646,184,845,60,0
2017,5.1400000000000000e+02,132,76,209,6,0
2017,4.9900000000000000e+02,0,0,0,0,0
2017,5.3200000000000000e+02,491,158,654,42,0
2017,1.9000000000000000e+02,0,0,0,0,0
2017,5.9800000000000000e+02,219,61,285,17,0
2017,2.6000000000000000e+02,1892,1604,3491,289,0
2017,8.3800000000000000e+02,0,0,0,0,0
2017,8.3900000000000000e+02,0,0,0,0,0
2017,8.5100000000000000e+02,0,0,0,0,0
2017,8.5200000000000000e+02,1298,340,1657,96,0
2017,9.8800000000000000e+02,0,0,0,0,0
2017,1.0560000000000000e+03,1279,267,1569,97,1
2017,1.0440000000000000e+03,0,0,0,0,0
2017,1.1140000000000000e+03,0,0,0,0,0
2017,1.1290000000000000e+03,194,57,251,15,0
2017,6.4400000000000000e+02,1498,404,1941,152,0
2017,7.5200000000000000e+02,900,264,1143,124,0
2017,2.3800000000000000e+02,0,0,0,0,0
2017,3.2500000000000000e+02,0,0,0,0,0
2017,6.2200000000000000e+02,196,104,306,16,0
2017,8.7900000000000000e+02,0,0,0,0,0
2017,9.0600000000000000e+02,190,207,425,19,0
2017,3.7000000000000000e+02,0,0,0,0,0
2017,4.1800000000000000e+02,0,0,0,0,0
2017,5.7400000000000000e+02,0,0,0,0,0
2017,3.9900000000000000e+02,0,0,0,0,0
2017,1.9500000000000000e+02,0,0,0,0,0
2017,7.8300000000000000e+02,1971,339,2351,185,0
2017,2.6300000000000000e+02,0,0,0,0,0
2017,1.9400000000000000e+02,0,0,0,0,0
2017,2.1400000000000000e+02,0,0,0,0,0
2017,7.8500000000000000e+02,4068,599,4782,404,0
2017,7.8000000000000000e+02,0,0,0,0,0
2017,7.8200000000000000e+02,0,0,0,0,0
2017,3.6900000000000000e+02,0,0,0,0,0
2017,7.1300000000000000e+02,0,0,0,0,0
2017,9.4100000000000000e+02,0,0,0,0,0
2017,1.0910000000000000e+03,0,0,0,0,0
2017,1.0450000000000000e+03,270,100,356,14,0
2017,1.0860000000000000e+03,1313,302,1326,0,0
2017,9.3700000000000000e+02,666,172,853,43,0
2017,1.0040000000000000e+03,0,1,1,0,0
2017,7.3700000000000000e+02,1621,438,2091,145,0
2017,7.6500000000000000e+02,3228,534,3892,529,0
2017,3.2900000000000000e+02,0,0,0,0,0
2017,8.7000000000000000e+01,0,0,0,0,0
2017,5.2700000000000000e+02,0,0,0,0,0
2017,5.6200000000000000e+02,0,0,0,0,0
2017,2.5100000000000000e+02,14,21,35,5,0
2017,1.2900000000000000e+02,0,0,0,0,0
2017,1.5400000000000000e+02,0,0,0,0,0
2017,5.1600000000000000e+02,556,302,866,0,0
2017,1.8400000000000000e+02,0,0,0,0,0
2017,6.5200000000000000e+02,0,0,0,0,0
2017,6.3700000000000000e+02,146,38,185,12,0
2017,8.8000000000000000e+01,0,0,0,0,0
2017,9.0700000000000000e+02,0,0,0,0,0
2017,9.7000000000000000e+02,0,0,0,0,0
2017,1.0190000000000000e+03,0,0,0,0,0
2017,1.0160000000000000e+03,644,383,962,51,0
2017,1.0470000000000000e+03,1164,278,1454,69,0
2017,6.3500000000000000e+02,2050,749,2843,163,1
2017,8.0800000000000000e+02,2132,435,2587,161,0
2017,9.7100000000000000e+02,0,0,0,0,0
2017,1.2800000000000000e+02,0,0,0,0,0
2017,9.1900000000000000e+02,652,199,857,42,0
2017,7.2500000000000000e+02,1807,584,2421,60,0
2017,3.0000000000000000e+00,0,0,0,0,0
2017,3.0600000000000000e+02,0,0,0,0,0
2017,1.5000000000000000e+01,0,0,0,0,0
2017,2.6400000000000000e+02,227,136,403,12,0
